,Date,Close/Last,Volume,Open,High,Low,Gain or Loss,Next Day,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,SPY Gain or Loss,SPY Next Day,Quarter,Quarter1,Quarter2,Quarter3,Quarter4,Earnings,iPhone,iPad,Mac,Other
1,02/27/2020,273.52,80151380.0,281.1,286.0,272.96,0.0,0.0,305.46,311.56,297.51,297.51,283.61,284353500.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,02/26/2020,292.65,49678430.0,286.53,297.88,286.5,1.0,0.0,314.18,318.11,310.7,311.5,296.95,194773800.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,02/25/2020,288.08,57668360.0,300.95,302.53,286.13,0.0,1.0,323.94,324.61,311.69,312.65,298.05,218913200.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,02/24/2020,298.18,55548830.0,297.26,304.18,289.23,0.0,0.0,323.14,333.56,321.24,322.42,307.36,161088400.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,02/21/2020,313.05,32426420.0,318.62,320.45,310.5,0.0,0.0,335.47,335.81,332.58,333.48,317.9,113788200.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,02/20/2020,320.3,25141490.0,322.63,324.65,318.21,0.0,0.0,337.74,338.64,333.68,336.95,321.21,74163400.0,0.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,02/19/2020,323.62,23495990.0,320.0,324.57,320.0,1.0,0.0,337.79,339.08,337.48,338.34,322.54,48814700.0,1.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,02/18/2020,319.0,38190550.0,315.36,319.75,314.61,0.0,1.0,336.51,337.67,335.21,336.73,321.0,57226200.0,0.0,1.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,02/14/2020,324.95,20028450.0,324.74,325.98,322.85,1.0,0.0,337.51,337.73,336.2,337.6,321.83,64582200.0,1.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,02/13/2020,324.87,23686890.0,324.19,326.22,323.35,0.0,1.0,335.86,338.12,335.56,337.06,321.32,54501900.0,0.0,1.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,02/12/2020,327.2,28432570.0,321.47,327.22,321.47,1.0,0.0,336.83,337.65,336.43,337.42,321.66,43992700.0,1.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,02/11/2020,319.61,23580780.0,323.6,323.9,318.71,0.0,1.0,336.16,337.02,334.68,335.26,319.6,54864500.0,1.0,1.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,02/10/2020,321.55,27337220.0,314.18,321.55,313.85,1.0,0.0,331.23,334.75,331.19,334.68,319.05,42070000.0,1.0,1.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,02/07/2020,320.03,29421010.0,322.37,323.4,318.0,0.0,1.0,332.82,333.99,331.6,332.2,316.68,64139400.0,0.0,1.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,02/06/2020,325.21,26356390.0,322.57,325.22,320.2648,1.0,0.0,333.91,334.19,332.8,333.98,318.38,50359700.0,1.0,0.0,2020Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
