Tree,Accuracy,Dropped,Adaboost,Accuracy,Dropped,XGB,Accuracy,Dropped,Gradient,Accuracy,Dropped,LogReg,Accuracy,,,,,GB2 with Learning Rate,,,,,,,,,XGB3 with Learning Rate,,,,,,,,,,,
Tree1,0.573098413,None,ADAB1,0.651873016,None,XGB1,0.646253968,None,GB1,0.644692063,None,SPY Next Day,0.681240064,,,,,learning rate,mean accuracy,,,,,,,,learning rate,mean accuracy,,,,,,,,,ADAB3 with Learning Rate,
Tree2,0.573053968,"High, Low, SPY High, SPY Low",ADAB2,0.662196825,"High, Low, SPY High, SPY Low",XGB2,0.652609524,"High, Low, SPY High, SPY Low",GB2,0.655028571,"High, Low, SPY High, SPY Low",SPY Gain or Loss,0.506359301,,,,,0.1,65.502857,,,,,,,,0.1,66.214603,,,,,,,,,learning rate,mean accuracy
,,,ADAB3,0.657415873,"High, Low, SPY High, SPY Low, Other, Quarter1, Quarter2, Quarter3, Quarter4",XGB3,0.662146032,"High, Low, SPY High, SPY Low, Other, Quarter1, Quarter2, Quarter3, Quarter4",GB3,0.651834921,"High, Low, SPY High, SPY Low, Other, Quarter1, Quarter2, Quarter3, Quarter4",Volume,0.4936407,,,,,0.11,64.307937,,,,,,,,0.15,64.226032,,,,,,,,,0.01,68.126349
,,,ADAB4,0.65584127,"Quarter1, Quarter2, Quarter3, Quarter4",XGB4,0.654996825,"Quarter1, Quarter2, Quarter3, Quarter4",GB4,0.647853968,"Quarter1, Quarter2, Quarter3, Quarter4",Gain or Loss,0.52782194,,,,,0.12,64.309206,,,,,,,,0.2,63.271111,,,,,,,,,0.02,68.126349
,,,ADAB5,0.647104762,"SPY High, SPY Low, Quarter1, Quarter2, Quarter3, Quarter4",,,,,,,,,,,,,0.13,63.909841,,,,,,,,0.25,61.91619,,,,,,,,,0.03,68.126349
,,,ADAB6,0.647104762,"SPY High, SPY Low, Other, Quarter1, Quarter2, Quarter3, Quarter4",,,,,,,,,,,,,0.14,63.274921,,,,,,,,0.3,60.96381,,,,,,,,,0.04,68.126349
,,,ADAB7,48.885714,"High, Low, SPY High, SPY Low, Other, Quarter1, Quarter2, Quarter3, Quarter4, SPY Next Day",,,,,,,,,,,,,0.15,62.95746,,,,,,,,0.35,60.250794,,,,,,,,,0.05,68.126349
,,,ADAB8,47.375238,SPY Next Day,,,,,,,,,,,,,0.16,62.635556,,,,,,,,0.4,59.535238,,,,,,,,,0.06,68.126349
,,,,,,,,,,,,,,,,,,0.17,63.910476,,,,,,,,0.45,60.090794,,,,,,,,,0.07,68.126349
,,,,,,,,,,,,,,,,,,0.18,62.083175,,,,,,,,0.5,59.219048,,,,,,,,,0.08,68.125714
,,,,,,,,,,,,,,,,,,0.19,62.00127,,,,,,,,,,,,,,,,,,0.09,68.125714
,,,,,,,,,,,,,,,,,,0.2,61.919365,,,,,,,,,,,,,,,,,,0.1,67.966984
,,,,,,,,,,,,,,,,,,GB3 with Learning Rate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,learning rate,mean accuracy,,,,,,,,,,,,,,,,,,ADAB2 with Learning Rate,
,,,,,,,,,,,,,,,,,,0.1,65.183492,,,,,,,,XGB3 with Learning Rate,,,,,,,,,,learning rate,mean accuracy
,,,,,,,,,,,,,,,,,,0.11,65.025397,,,,,,,,learning rate,mean accuracy,,,,,,,,,0.01,68.126349
,,,,,,,,,,,,,,,,,,0.12,63.829841,,,,,,,,0.1,66.214603,,,,,,,,,0.02,68.126349
,,,,,,,,,,,,,,,,,,0.13,63.669841,,,,,,,,0.11,65.337778,,,,,,,,,0.03,68.126349
,,,,,,,,,,,,,,,,,,0.14,63.907937,,,,,,,,0.12,65.020317,,,,,,,,,0.04,68.126349
,,,,,,,,,,,,,,,,,,0.15,62.24,,,,,,,,0.13,64.464762,,,,,,,,,0.05,68.126349
,,,,,,,,,,,,,,,,,,0.16,62.956825,,,,,,,,0.14,64.460952,,,,,,,,,0.06,68.126349
,,,,,,,,,,,,,,,,,,0.17,63.035556,,,,,,,,0.15,64.226032,,,,,,,,,0.07,68.126349
,,,,,,,,,,,,,,,,,,0.18,62.558095,,,,,,,,0.16,63.267937,,,,,,,,,0.08,68.205714
,,,,,,,,,,,,,,,,,,0.19,61.524444,,,,,,,,0.17,63.826667,,,,,,,,,0.09,68.205714
,,,,,,,,,,,,,,,,,,0.2,62.47746,,,,,,,,0.18,63.428571,,,,,,,,,0.1,67.887619
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,62.398095,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GB1 with Learning Rate,,,,,,,,,0.2,63.271111,,,,,,,,,ADAB7 with Learning Rate,
,,,,,,,,,,,,,,,,,,learning rate,mean accuracy,,,,,,,,,,,,,,,,,,learning rate,mean accuracy
